method,threshold,precision,recall,f1,event_precision,event_recall,event_f1,delay,false_alarms_per_1000
URD,2.738668697858828,0.4464582389367165,0.4716770384554013,0.4587212911235258,0.3208116259939676,0.7821229050279329,0.45499368064332435,1.6904761904761905,20.159848622364507
URD,3.022806231481378,0.48886925795053005,0.4415190681346737,0.4639892680472877,0.35502766026684024,0.7271880819366853,0.47711722022864445,1.7439180537772088,15.913353905730018
URD,3.2700175234734283,0.5549926113573992,0.41949896282112653,0.47782624500181753,0.4357894736842105,0.6945996275605214,0.5355663917540076,1.8136729222520107,11.595350858375001
URD,3.9430361760562946,0.6213720316622692,0.3757778841550981,0.46833051605846676,0.5466507177033493,0.6219739292364991,0.5818848604643628,1.9296407185628743,7.893419583381464
URD,6.7249555207889,0.5909252038284296,0.26599648954842825,0.3668573943661972,0.5393068469991547,0.46834264432029793,0.5013259015153941,2.441351888667992,6.347739511653107
URD,9.967543146476105,0.6023391812865497,0.18078825594383277,0.27810505645557193,0.5914110429447853,0.35288640595903165,0.4420236814820102,3.216358839050132,4.114479336842742
URD,11.53899656946808,0.7662061636556854,0.11504707196425722,0.20005549389567148,0.6740858505564388,0.3091247672253259,0.42386977494866035,4.183734939759036,1.210140981424336
TranAD,2.068190574645996,0.09443588244672371,0.5670974948141057,0.16190975148629871,0.08580002728140772,0.8044692737430168,0.15506203696966844,0.5578703703703703,187.46183930427895
TranAD,2.1381068229675293,0.09590681471804921,0.5623105153981172,0.16386505777591778,0.08639175257731958,0.8016759776536313,0.15597502386585316,0.5691056910569106,182.73128819507474
TranAD,2.2318012714385986,0.09737261814824141,0.5552896122546673,0.1656906156263391,0.08911172747315269,0.7988826815642458,0.16033843249023494,0.5920745920745921,177.44517236258025
TranAD,2.2853457927703857,0.09911900594025311,0.5511408967608106,0.16802062557766212,0.09265578635014837,0.797951582867784,0.1660323818000392,0.6021003500583431,172.68161740842808
TranAD,2.352496385574341,0.10102113091724708,0.5461943513642892,0.1705063385718911,0.09568826377680424,0.7942271880819367,0.17079874388776725,0.6107854630715123,167.55502015984862
TranAD,2.4180477082729346,0.10288040836169178,0.54029041008457,0.1728476990224355,0.09752844252648098,0.7914338919925512,0.17365710975924853,0.6141176470588235,162.4119209887952
TranAD,2.4963315415382388,0.10515779925557536,0.5364608265517792,0.175846017051101,0.09858031583984686,0.7886405959031657,0.1752538471518312,0.6269185360094451,157.36783335258556
TranAD,2.5954413414001465,0.10639804325437693,0.5275251316419339,0.17708026460269424,0.10126270908494589,0.7774674115456238,0.17918688450528014,0.6227544910179641,152.7307931374005
TranAD,2.7115843296051025,0.10747477429633563,0.5166746449656933,0.17793652974309657,0.10456452856041791,0.7607076350093109,0.18385668365638808,0.6303549571603427,147.9122317750018
TranAD,2.7825045585632324,0.11019387545386038,0.5133237593745014,0.18143876371224726,0.11038202247191012,0.7597765363128491,0.1927595145924659,0.6433823529411765,142.8901467020908
TranAD,2.859775722026824,0.1130450194966324,0.5088559119195788,0.1849928938132668,0.11451885199774901,0.7541899441340782,0.19884446197635725,0.6432098765432098,137.6315340737196
TranAD,2.987394332885742,0.11476610864866844,0.49992021700973355,0.18667699457784662,0.11566913248150638,0.7458100558659218,0.20027692676704353,0.6541822721598003,132.92848616863864
TranAD,3.079402208328247,0.11715846165516196,0.4928993138662837,0.1893175619771397,0.11810480693459417,0.7337057728119181,0.20345879871681322,0.6192893401015228,128.0384164755194
TranAD,3.176387310028076,0.12026936557318946,0.4873145045476304,0.19292482627921667,0.12018987981012019,0.7299813780260708,0.2063969424510566,0.639030612244898,122.878815381992
TranAD,3.311307907104492,0.12356016665305122,0.4826870911121749,0.19675436599564214,0.12021470528661131,0.7262569832402235,0.20628396764104906,0.6512820512820513,118.02725017464535
TranAD,3.4142470359802246,0.12689104198538162,0.4764640178713898,0.2004094097117353,0.12426346801346802,0.723463687150838,0.21209679600212736,0.6602316602316602,113.01616638338366
TranAD,3.5190491676330566,0.1301981950097328,0.46960268070847294,0.2038723979079353,0.13163505779373808,0.7197392923649907,0.22256466460194857,0.6778783958602846,108.14809925356305
TranAD,3.6289042246341787,0.13413168115405955,0.46290090952608903,0.20799426420505468,0.1331950685562853,0.7104283054003724,0.22433125909806695,0.7064220183486238,103.01050072333427
TranAD,3.7617276859283617,0.1376226615749021,0.4542843465773097,0.211248794242042,0.13247172859450726,0.7029795158286778,0.2229332046603158,0.713907284768212,98.13143231186433
TranAD,3.887551455497742,0.14189497138805895,0.44710387745332697,0.21542246482663183,0.13609820045286616,0.6973929236499069,0.22775028832967423,0.7222963951935915,93.20835877379714
TranAD,4.092177867889404,0.14482905075387556,0.43529599489388865,0.21734454049316815,0.13955773955773956,0.6890130353817505,0.2321035321351184,0.7405405405405405,88.60432240356002
TranAD,4.2196946144104,0.14993006993006994,0.42763682782830703,0.2220197166763317,0.14088191330343797,0.6852886405959032,0.2337163298706134,0.78125,83.58223733064902
TranAD,4.3701359510421804,0.15479144511402576,0.41806286899633,0.2259302375716811,0.14810395120657652,0.6787709497206704,0.24315324967571328,0.823045267489712,78.69216763752978
